Date,site_no,flow_cfs,814_SWE_cm,684_SWE_cm,dayl_s,prcp_mm_day,srad_W_m2,swe_cm,tmax_C,tmin_C,vp_Pa,tmean,convective_fraction,longwave_radiation,potential_energy,potential_evaporation,pressure,shortwave_radiation,specific_humidity,temperature,total_precipitation,wind_u,wind_v
2007-10-10,10133650,6.11,0.0,0.0,39984.15,0.0,363.91,0.0,22.27,2.45,718.21,12.36,0.0,242.62805989583333,0.0,0.2336708777533637,76889.30458333332,188.28619270833332,0.0036763657118055564,11.398350151909746,0.0,0.2699414062499999,5.294318576388887
2007-10-11,10133650,6.09,0.0,0.0,39823.06,0.0,366.41,0.0,19.5,-0.54,587.07,9.48,0.0,223.45027777777784,0.0,0.17363700067732066,76862.45527777779,184.78656770833334,0.0029277026899549702,7.220906032986134,0.0,0.42880859375,-0.9296028645833333
2007-10-12,10133650,6.75,0.0,0.0,39662.57,0.0,335.26,0.0,17.65,0.64,639.81,9.145,0.0,245.49028645833334,0.0,0.16533400626712375,76492.43791666665,163.39988715277778,0.003461028993055556,7.99881456163197,0.0,-0.8900043402777778,2.4187521701388883
2007-10-13,10133650,7.99,0.0,0.0,39502.72,3.79,179.21,0.0,14.09,3.63,792.01,8.86,0.22319670138888886,290.2600868055556,10.707555555555556,0.15036302083333333,76258.21625,139.95541840277778,0.003822099218750001,7.844041341145857,0.08069275173611112,1.2952604166666666,-1.8054405381944447
2007-10-14,10133650,7.88,0.254,0.0,39343.54,0.0,263.86,0.0,14.26,2.39,725.52,8.325,0.11251592881944443,246.5114171006945,6.503694444444445,0.11342877604166667,76716.24111111111,170.4266145833333,0.004801866612413194,4.636205512152799,0.024129210069444438,0.533342013888889,-2.3776519097222213
2007-10-15,10133650,7.75,0.0,0.0,39185.06,0.0,333.21,0.0,16.44,-0.62,583.55,7.910000000000001,0.0,231.00535373263887,0.0,0.13263174913194445,76795.77319444444,175.9198810763889,0.004143051161024306,6.123119032118078,0.0,0.3635894097222222,1.686529947916667
2007-10-16,10133650,7.95,0.0,0.0,39027.33,3.0,233.24,0.0,16.11,0.83,648.52,8.469999999999999,0.027686089409722225,242.15091796875006,40.97629166666666,0.16313387586805553,76179.74569444446,160.04665538194445,0.003804291493055557,7.139626193576415,0.006734765625000001,0.6991319444444445,3.925132378472223
2007-10-17,10133650,9.83,1.016,0.0,38870.38,12.08,164.07,0.0,9.17,-0.18,602.91,4.495,0.7743502821180556,270.9209613715278,181.49793055555557,0.13580735677083336,75911.25750000002,125.5330859375,0.004107931510416667,3.7897916666666918,0.29083728298611117,5.422934027777776,0.974982638888889
2007-10-18,10133650,8.84,2.794,1.016,38714.24,5.93,147.16,0.0,5.82,-2.27,516.86,1.7750000000000001,0.14921768663194446,265.0064279513889,7.095152777777777,0.08969285413953992,76581.90805555556,124.66159809027778,0.0032611976562500005,-0.9581678602430361,0.7210761284722222,4.1176584201388895,0.04933159722222224
2007-10-19,10133650,8.82,3.302,1.52399999999999,38558.97,0.0,306.4,0.0,17.26,2.03,707.11,9.645000000000001,0.0,282.3611197916666,0.0,0.15096280381944446,76919.05291666665,162.36188541666667,0.004088626318359375,5.176978081597243,0.05896892361111111,3.7880273437499996,5.697591145833334
