Date,site_no,flow_cfs,SWE_cm,dayl_s,prcp_mm_day,srad_W_m2,swe_cm,tmax_C,tmin_C,vp_Pa,tmean,convective_fraction,longwave_radiation,potential_energy,potential_evaporation,pressure,shortwave_radiation,specific_humidity,temperature,total_precipitation,wind_u,wind_v
2014-07-10,10164500,33.7,0.0,53001.98,0.0,418.44,0.0,25.91,13.54,1249.65,19.725,0.1690757067137809,350.4822217314488,53.77147173144876,0.2135664460093449,77379.80209216727,161.86903459952885,0.0085291143419533,17.462126807043237,0.0025708038869257,1.866978798586572,1.2653989988221437
2014-07-11,10164500,33.1,0.0,52935.08,0.0,355.43,0.0,23.29,13.33,1352.72,18.31,0.2544835983510011,345.49007214369846,82.98917005300353,0.2085742491166077,77562.2716107185,191.8715045641932,0.0095922809923439,15.236131673752237,0.0867976001177856,0.928817726737338,1.6149234393404004
2014-07-12,10164500,31.2,0.0,52865.05,0.0,462.98,0.0,26.71,12.59,1089.68,19.65,0.0628944640753827,328.6680270906949,106.9006277974087,0.3301140017667844,77754.13260600706,315.4825035335689,0.0089969139444268,18.210932289366184,0.1162326266195524,0.7413972320376914,-1.6919670200235568
2014-07-13,10164500,30.2,0.0,52791.93,0.0,458.25,0.0,28.69,14.54,1187.0,21.615,0.0,314.94092330016014,250.34469905771493,0.374830609540636,77838.56463339222,331.4640756772674,0.0083022146364173,20.353344260711157,0.0,-0.909558303886926,-0.9695803886925796
2014-07-14,10164500,28.7,0.0,52715.76,0.0,469.09,0.0,30.79,15.73,1246.99,23.26,0.0,302.0347084805654,177.87746466431096,0.3824178739693757,77798.17544464074,331.28050235571266,0.0068958744126246,21.203551702600517,0.0,-2.0863604240282685,-0.294260895170789
2014-07-15,10164500,26.6,0.0,52636.6,0.0,441.64,0.0,29.05,15.42,1285.81,22.235,0.0,312.43966283863364,107.23475058892814,0.420446746171967,77590.66128975265,329.60862118749543,0.0067250785630153,21.931663181408293,0.0,1.4759805653710243,-0.3960571260306242
2014-07-16,10164500,25.5,0.0,52554.5,0.0,394.81,0.0,25.34,13.77,1262.2,19.555,0.0,303.58849544385856,72.09032405771494,0.3997586572438162,77459.93618521788,331.24602664899885,0.0071496316579937,19.6097635775545,0.0,3.782215842167256,-1.172385159010601
2014-07-17,10164500,24.8,0.0,52469.51,0.0,459.76,0.0,26.11,11.85,1015.83,18.98,0.0,286.0743948763251,0.0001166077738515,0.3844964664310953,77368.45805506478,333.60458789752647,0.005952950475801,18.04946291363003,0.0,0.9809864546525324,-1.675242932862191
2014-07-18,10164500,28.0,0.0,52381.68,0.0,432.37,0.0,27.2,13.98,1204.26,20.59,0.0,299.80822895387035,2.851251177856301,0.310944125441696,77495.39012514723,257.2021813898704,0.0047321127975697,19.026683483325996,0.0,0.8108907538280329,0.6552709069493522
2014-07-19,10164500,40.1,0.0,52291.07,0.0,438.6,0.0,27.89,14.39,1222.24,21.14,0.0,298.5252782685512,82.59131654888104,0.3865240754899203,77567.31218786807,326.43829003158584,0.0059437769140164,19.47852403908093,0.0,1.115045641931684,2.0044169611307416
