Date,site_no,flow_cfs,SWE_cm,dayl_s,prcp_mm_day,srad_W_m2,swe_cm,tmax_C,tmin_C,vp_Pa,tmean,convective_fraction,longwave_radiation,potential_energy,potential_evaporation,pressure,shortwave_radiation,specific_humidity,temperature,total_precipitation,wind_u,wind_v
2018-03-20,10133800,36.4,36.82999999999999,42866.49,0.0,473.07,1.054,8.03,-4.94,423.02,1.5449999999999997,0.0,214.37117367367372,0.0,0.0481308933933933,76859.74064814816,182.08928641141145,0.0023514613113113,-3.797158408408387,0.0,0.8718393393393394,2.7844469469469475
2018-03-21,10133800,43.4,36.82999999999999,43033.14,0.0,458.3,0.8480000000000001,11.37,-1.08,564.3,5.145,0.0,269.3445232732733,0.0,0.0640143018018018,76629.38539539542,139.9405706956957,0.0030276803178178,0.2164000279576603,0.0358692442442442,0.0644719719719719,4.025563063063063
2018-03-22,10133800,59.5,36.82999999999999,43199.82,27.01,211.64,0.418,10.73,4.23,826.36,7.48,0.1258504379379379,280.0046321321322,13.381681681681682,0.1057189909422362,76649.35457207209,152.81485447947952,0.0044776716841841,3.8765464243540686,0.2742516016016016,0.1159459459459459,6.846502752752754
2018-03-23,10133800,148.0,41.14799999999999,43366.49,9.71,271.84,0.142,9.0,0.56,636.13,4.78,0.5412649774774776,281.01961586586583,28.489652652652666,0.1343587462462463,76539.06617867868,200.8315523023023,0.0049160348848848,3.993077203179767,1.7908922297297298,3.656858108108109,4.474343093093094
2018-03-24,10133800,73.0,41.91,43533.14,0.0,376.24,0.0,9.7,-0.4,593.29,4.65,0.0487013763763763,211.09671171171175,4.558986986986987,0.1024490740740741,76313.91632382385,249.1996976976977,0.0032219579183859,1.2768138157689184,9.40940940940941e-06,1.1117842842842844,4.920087587587589
2018-03-25,10133800,54.3,41.91,43699.74,0.94,363.53,0.0,6.07,-3.35,477.14,1.36,0.1042802552552552,241.30360110110115,2.0134694694694706,0.0758753378378378,76066.2924974975,213.3672867867868,0.003070673073073,-0.754654278301714,0.0116000375375375,2.197772772772773,1.100432932932933
2018-03-26,10133800,46.1,41.91,43866.26,0.0,390.71,0.0,3.09,-7.14,357.54,-2.025,0.012236524024024,248.5437062062063,16.575663663663665,0.0679228103103103,76548.84770770771,153.91156819319318,0.0026951573448448,-4.632586336336312,0.2339025025025025,3.271202452452453,-2.3182795295295304
2018-03-27,10133800,40.0,41.91,44032.67,0.0,467.99,0.0,5.51,-8.92,311.24,-1.705,0.0,186.4001488988989,0.0,0.0740134478991931,77017.50892892895,261.1161953203204,0.0021845228728728,-5.302466714761617,7.90790790790791e-06,0.7589151651651652,-2.459435685685686
2018-03-28,10133800,37.0,42.164,44198.94,0.0,413.23,0.0,6.97,-4.31,443.72,1.33,0.0511876876876877,257.7199161661662,14.142646646646648,0.1027473723723723,76912.17214214215,205.0147092092093,0.0031047121621621,-0.8046561502908963,0.0508984984984985,4.3275000000000015,-1.298947697697698
2018-03-29,10133800,35.2,42.41799999999999,44365.05,0.0,397.81,0.0,8.56,-2.1,523.69,3.2300000000000004,0.0,208.03333083083083,0.0,0.1459116991991992,76995.65355605604,263.14908283283285,0.002609091091091,0.2907369869870085,0.0,4.137932932932933,-1.4125588088088092
2018-03-30,10133800,34.7,42.41799999999999,44530.98,0.0,449.79,0.0,11.67,-1.68,539.82,4.995,0.0,210.1613263263264,0.0,0.124549537037037,77236.81602602603,277.79970608108107,0.0030074448698698,1.5087757777308783,0.0,3.5668155655655656,1.042258508508509
2018-03-31,10133800,35.4,41.91,44696.68,0.0,463.79,0.0,15.07,0.51,631.16,7.79,0.0,230.46877502502505,1.543951951951952,0.1352442442442442,77046.77196446447,265.88844219219226,0.0033295721971971,4.20255755755758,0.0,3.603482232232233,2.3346921921921924
2018-04-01,10133800,38.1,41.402,44862.15,0.0,458.91,0.0,14.93,0.73,642.9,7.83,0.0,237.84377752752752,0.0,0.1571121871871872,76616.86455205207,264.4367920420421,0.003514279542042,5.147981731731759,0.0,4.269186686686687,1.2773485985985986
2018-04-02,10133800,39.7,41.14799999999999,45027.33,1.97,453.11,0.0,12.83,-0.84,574.21,5.995,0.1159608108108108,249.93278903903908,7.791351351351353,0.1737420046952394,76040.8837812813,205.7751675425426,0.0035628992742742,4.937421171171195,0.0215493493493493,6.54445945945946,2.696991991991992
2018-04-03,10133800,37.1,41.65599999999999,45192.22,0.0,511.49,0.0,7.11,-10.73,269.78,-1.81,0.0236272522522522,204.80939814814812,8.332,0.2034882757757757,76796.35834834837,266.45164564564567,0.0017998904529529,-2.6900462962962752,0.0162178053053053,3.50450075075075,-1.5762775275275278
2018-04-04,10133800,33.5,41.65599999999999,45356.77,0.0,458.57,0.0,9.69,-4.29,444.58,2.7,0.0,250.36141266266264,0.0,0.1744533283283283,76913.22472972974,193.94024127887656,0.0016821452077077,1.5588563563563789,0.0080633133133133,2.8116979479479487,3.076825575575576
