Date,site_no,flow_cfs,814_SWE_cm,684_SWE_cm,dayl_s,prcp_mm_day,srad_W_m2,swe_cm,tmax_C,tmin_C,vp_Pa,tmean,convective_fraction,longwave_radiation,potential_energy,potential_evaporation,pressure,shortwave_radiation,specific_humidity,temperature,total_precipitation,wind_u,wind_v
2016-06-12,10133980,42.8,0.0,0.0,53614.39,0.0,466.52,0.0,21.78,7.71,967.33,14.745000000000001,0.2588012343153301,292.61761865793784,255.88611893071476,0.2505028368794327,78308.17549849974,297.71041475722865,0.008124558683761043,11.236189261861554,0.3028263229678124,-0.21664416257501376,0.36021685761047467
2016-06-13,10133980,39.1,0.0,0.0,53642.72,5.26,333.8,0.0,20.34,7.18,1013.8,13.76,0.28497454309874526,291.2504166666667,481.94071794871803,0.2510004402106536,78153.12912302237,260.25791925804697,0.007281136448264035,13.071776677790874,0.20304975450081839,0.5882235406437536,2.5114048008728864
2016-06-14,10133980,45.2,0.0,0.0,53667.44,0.0,531.79,0.0,23.66,5.96,786.56,14.81,0.34316919667212226,271.28400436442996,28.4238908892526,0.3372620908346972,77834.49310692854,314.6594560829243,0.005793903859792691,12.19393234227959,0.13146721222040372,2.381811920349155,5.062643889798147
2016-06-15,10133980,37.3,0.0,0.0,53688.54,0.0,472.94,0.0,26.07,10.99,1147.97,18.53,0.12356130660120027,263.30352632296785,0.0,0.3858879712560044,77550.87263502456,334.9266848745227,0.005302934547190399,14.636682042331588,0.039314402618657956,1.4931819421713046,6.426810556464813
2016-06-16,10133980,30.8,0.0,0.0,53705.99,0.0,465.98,0.0,24.59,9.83,1078.47,17.21,0.0,260.4186845335517,0.0,0.36609599719018937,77661.13996249321,335.69935836061114,0.005278409768049093,13.826480032946359,0.0,3.2044469448990736,5.18434056192035
2016-06-17,10133980,29.1,0.0,0.0,53719.78,0.0,536.87,0.0,26.45,7.36,846.76,16.905,0.0,265.98085106382985,0.1303655210038189,0.3474892935079106,78059.37466925808,334.9059993862521,0.005734049207402056,14.114094226294013,0.0,-0.027550463720676495,2.9153293780687406
2016-06-18,10133980,27.6,0.0,0.0,53729.91,0.0,526.2,0.0,27.92,9.2,959.81,18.560000000000002,0.0,266.0746624386253,0.2606175668303328,0.3799646208401529,78280.34915780142,337.3757868930715,0.005447872022549912,16.403505819417475,0.0,1.4384165302782328,4.909847926895801
2016-06-19,10133980,25.7,0.0,0.0,53736.36,0.0,538.58,0.0,27.78,8.01,876.42,17.895,0.0,277.926763502455,0.0,0.33270935146167385,78541.216521413,330.96931035188226,0.005915260306783406,17.109116048443493,0.0,2.1477870976541196,2.997600927441354
2016-06-20,10133980,25.3,0.0,0.0,53739.13,0.0,537.4,0.0,31.93,11.15,1058.3,21.54,0.0,288.1870103655211,37.35879541734862,0.3512332320592604,78662.61811715769,333.0733604746318,0.0066507634967277445,18.864702364208295,0.0,-1.0665807419530824,1.9839975450081837
2016-06-21,10133980,21.9,0.0,0.0,53738.22,0.0,517.02,0.0,30.78,11.54,1077.13,21.16,0.0,300.8423117839608,37.87274195308239,0.3573884039313301,78427.54179009821,320.4421385706493,0.007038485557556986,21.262329623674496,0.0,2.470767866884889,2.4314641298417903
